title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
30a Divisione Fanteria Sabauda.png,56789768,https://upload.wikimedia.org/wikipedia/commons/c/ca/30a_Divisione_Fanteria_Sabauda.png,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'}
"Auction Mart, St Bartholomew's Lane - Shepherd, Metropolitan Improvements (1828), p203.jpg",32133861,https://upload.wikimedia.org/wikipedia/commons/6/6d/Auction_Mart%2C_St_Bartholomew%27s_Lane_-_Shepherd%2C_Metropolitan_Improvements_%281828%29%2C_p203.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'Architecture', 'History', 'Art'}","{'Architecture', 'History'}","{'Monuments & Memorials', 'Architecture', 'History', 'Art'}","{'Places', 'History', 'Art', 'Architecture', 'Culture'}","{'Places', 'Architecture', 'History', 'Culture'}","{'Places', 'History', 'Art', 'Architecture', 'Monuments & Memorials', 'Culture'}","{'Places', 'History', 'Architecture', 'Art', 'Culture'}"
Hercules Read.jpg,53149020,https://upload.wikimedia.org/wikipedia/commons/3/37/Hercules_Read.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'Monuments & Memorials', 'Art'}","{'History', 'People'}",{'Art'},"{'Monuments & Memorials', 'Places', 'Culture', 'Art'}","{'History', 'Society', 'People', 'Culture'}","{'Culture', 'Art'}","{'Art', 'Culture'}"
"Flat Bastion Road, Gibraltar 2.JPG",21618576,https://upload.wikimedia.org/wikipedia/commons/3/37/Flat_Bastion_Road%2C_Gibraltar_2.JPG,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'Places', 'Architecture', 'Landscapes'}",{'Architecture'},{'Places'},"{'Places', 'Architecture', 'Landscapes'}","{'Places', 'Architecture'}",{'Places'},"{'Places', 'Architecture'}"
Blason imaginaire Palamede.svg,21038556,https://upload.wikimedia.org/wikipedia/commons/d/d4/Blason_imaginaire_Palamede.svg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'}
Parmigianino 019.jpg,8572638,https://upload.wikimedia.org/wikipedia/commons/5/53/Parmigianino_019.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'History', 'People', 'Art'}","{'History', 'People'}","{'History', 'People', 'Art'}","{'History', 'People', 'Art', 'Culture', 'Society'}","{'History', 'Society', 'People', 'Culture'}","{'History', 'People', 'Art', 'Culture', 'Society'}","{'History', 'People', 'Art', 'Culture', 'Society'}"
"Union Depot in Kansas City, Union Depot, which opened in April 1878 in an area now known as West Bottoms. Following a flood it was replaced by Union Station in 1914.jpg",22614807,https://upload.wikimedia.org/wikipedia/commons/1/10/Union_Depot_in_Kansas_City%2C_Union_Depot%2C_which_opened_in_April_1878_in_an_area_now_known_as_West_Bottoms._Following_a_flood_it_was_replaced_by_Union_Station_in_1914.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'Architecture', 'History'}","{'Architecture', 'History'}","{'Monuments & Memorials', 'Architecture', 'History'}","{'Places', 'Architecture', 'History', 'Culture'}","{'Places', 'Architecture', 'History', 'Culture'}","{'Places', 'History', 'Monuments & Memorials', 'Architecture', 'Culture'}","{'Places', 'Architecture', 'History', 'Culture'}"
Camelio Nelson Lundvall.jpg,29894410,https://upload.wikimedia.org/wikipedia/commons/3/37/Camelio_Nelson_Lundvall.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'People', 'Music'}",{'People'},"{'Events', 'People'}","{'Society', 'Culture', 'People', 'Music'}","{'Society', 'People'}","{'Events', 'People', 'Society'}","{'People', 'Society'}"
Miss Reeder’s Portrait.jpg,53241081,https://upload.wikimedia.org/wikipedia/commons/5/55/Miss_Reeder%E2%80%99s_Portrait.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'History', 'People', 'Art'}","{'History', 'People'}","{'People', 'Art'}","{'History', 'People', 'Art', 'Culture', 'Society'}","{'History', 'Society', 'People', 'Culture'}","{'Society', 'Culture', 'People', 'Art'}","{'History', 'People', 'Art', 'Culture', 'Society'}"
170616 Taiga Matsuo.jpg,60207483,https://upload.wikimedia.org/wikipedia/commons/1/10/170616_Taiga_Matsuo.jpg,31J7RYECZLBFBTKQ65BHAU65ZG91LP,A28RL79ONUXTET,A2NXMRPHG86N2T,A3CH1Z6J9R38G9,"{'Events', 'People', 'Sports'}","{'People', 'Sports'}","{'People', 'Sports'}","{'Events', 'People', 'Society', 'Sports'}","{'Society', 'People', 'Sports'}","{'Society', 'People', 'Sports'}","{'Society', 'People', 'Sports'}"
