title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,AssignmentStatus0,AssignmentStatus1,AssignmentStatus2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
NGC 0681 SDSS.jpg,47670432,https://upload.wikimedia.org/wikipedia/commons/d/da/NGC_0681_SDSS.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Space'},{'Space'},{'Space'},"{'STEM', 'Space'}","{'STEM', 'Space'}","{'STEM', 'Space'}","{'STEM', 'Space'}"
Biosynthesis of torreyanic acid.png,10613199,https://upload.wikimedia.org/wikipedia/commons/6/63/Biosynthesis_of_torreyanic_acid.png,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Mathematics', 'Diagrams'}",{'Diagrams'},{'Chemistry'},"{'STEM', 'Mathematics', 'Diagrams'}","{'STEM', 'Diagrams'}","{'Chemistry', 'STEM'}","{'STEM', 'Diagrams'}"
"GDE southbound, just after Ellenborough Street overpass.jpg",27051144,https://upload.wikimedia.org/wikipedia/commons/2/2d/GDE_southbound%2C_just_after_Ellenborough_Street_overpass.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Transportation', 'Plants'}",{'Transportation'},{'Transportation'},"{'Transportation', 'Society', 'STEM', 'Plants', 'Nature'}","{'Transportation', 'Society'}","{'Transportation', 'Society'}","{'Transportation', 'Society'}"
The Phoenix Centre - geograph.org.uk - 1976911.jpg,19381343,https://upload.wikimedia.org/wikipedia/commons/8/84/The_Phoenix_Centre_-_geograph.org.uk_-_1976911.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Architecture', 'Places'}",{'Architecture'},{'Architecture'},"{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}"
Grumman F-14A production line Calverton 1986 mfr 863853 (GHC via RJF) (18355107845).jpg,41487893,https://upload.wikimedia.org/wikipedia/commons/1/1e/Grumman_F-14A_production_line_Calverton_1986_mfr_863853_%28GHC_via_RJF%29_%2818355107845%29.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'People', 'Technology & Engineering'}",{'Technology & Engineering'},"{'Transportation', 'Technology & Engineering'}","{'STEM', 'People', 'Technology & Engineering', 'Society'}","{'STEM', 'Technology & Engineering'}","{'Transportation', 'STEM', 'Technology & Engineering', 'Society'}","{'STEM', 'Technology & Engineering', 'Society'}"
John McNulty (steamboat captain).jpg,3781538,https://upload.wikimedia.org/wikipedia/commons/4/4e/John_McNulty_%28steamboat_captain%29.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'People', 'History'}",{'Politics'},"{'People', 'History'}","{'Culture', 'People', 'History', 'Society'}","{'Society', 'Politics'}","{'Culture', 'People', 'History', 'Society'}","{'Culture', 'People', 'History', 'Society'}"
PA Periyanayaki.jpg,45232186,https://upload.wikimedia.org/wikipedia/commons/e/ec/PA_Periyanayaki.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'People'},{'People'},"{'People', 'History'}","{'People', 'Society'}","{'People', 'Society'}","{'Culture', 'People', 'History', 'Society'}","{'People', 'Society'}"
Roe Highway Thornlie Southward SMC.jpg,1049544,https://upload.wikimedia.org/wikipedia/commons/9/93/Roe_Highway_Thornlie_Southward_SMC.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Transportation', 'Places', 'Plants'}","{'Landscapes', 'Transportation', 'Plants'}",{'Transportation'},"{'Transportation', 'Society', 'STEM', 'Plants', 'Nature', 'Places'}","{'Transportation', 'Society', 'STEM', 'Plants', 'Nature', 'Landscapes', 'Places'}","{'Transportation', 'Society'}","{'Transportation', 'Society', 'STEM', 'Plants', 'Nature', 'Places'}"
Professor Rugge with President emeritus Napolitano.jpg,68667207,https://upload.wikimedia.org/wikipedia/commons/6/63/Professor_Rugge_with_President_emeritus_Napolitano.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'People'},{'Politics'},{'People'},"{'People', 'Society'}","{'Society', 'Politics'}","{'People', 'Society'}","{'People', 'Society'}"
Eton Choirbook.jpg,1263729,https://upload.wikimedia.org/wikipedia/commons/d/d7/Eton_Choirbook.jpg,3087LXLJ71R9LX5N44Q1MH00WDMF0Q,A28RRYZ732VZIG,A32OTBQ9Y8ZJUP,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Logos & Symbols'},{'Diagrams'},"{'History', 'Music'}",{'Logos & Symbols'},"{'STEM', 'Diagrams'}","{'Culture', 'History', 'Music'}",set()
