,id,title,url,categories,labels_pred
0,64172997,Barbersharp 12TET and 4-5-6-7 audacity.png,https://upload.wikimedia.org/wikipedia/commons/d/d8/Barbersharp_12TET_and_4-5-6-7_audacity.png,"['Harmonic seventh chords' '7-limit tuning and intervals'
 'Music diagrams in English' 'Spectrogram']","{'Diagrams', 'STEM', 'Chemistry', 'Mathematics', 'Culture', 'Music'}"
1,26003013,Photoluminescence schema.png,https://upload.wikimedia.org/wikipedia/commons/b/b8/Photoluminescence_schema.png,['Spontaneous emission' 'Photoluminescence'],"{'Chemistry', 'STEM'}"
2,5449635,Grindon Church detail 5.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Grindon_Church_detail_5.jpg,"['Time 11:26' 'Grindon War Memorial Clock, Staffordshire']","{'Monuments & Memorials', 'Technology & Engineering', 'STEM', 'Places', 'Culture', 'History'}"
3,48670203,"Adriana Nechita, Eliza Buceschi et Melinda Geiger-20151129.jpg",https://upload.wikimedia.org/wikipedia/commons/2/2b/Adriana_Nechita%2C_Eliza_Buceschi_et_Melinda_Geiger-20151129.jpg,"['Adriana Nechita' ""Women's handball TIPIFF Romania vs Cuba 2015-11-29""
 'Melinda Geiger' 'Eliza Buceschi']","{'Society', 'People', 'Events'}"
4,15839445,"Charles River at Grove Park (Natick, Massachusetts) - DSC09534.JPG",https://upload.wikimedia.org/wikipedia/commons/1/1a/Charles_River_at_Grove_Park_%28Natick%2C_Massachusetts%29_-_DSC09534.JPG,"['Charles River (Natick, Massachusetts)' 'Dams of the Charles River']","{'Society', 'People', 'Places', 'Nature', 'STEM', 'Politics'}"
5,46822630,Legendary Shack Shakers live performance.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Legendary_Shack_Shakers_live_performance.jpg,"['2010 concerts in the United States'
 'Musical groups from Nashville, Tennessee' 'Rockabilly music groups'
 'Blues rock groups from the United States'
 'Rock music groups from Tennessee']","{'Society', 'Culture', 'Music'}"
6,63618241,Color PEWS.png,https://upload.wikimedia.org/wikipedia/commons/a/a0/Color_PEWS.png,['Pews' 'Nursing' 'Pediatrics' 'Color codes'],"{'Society', 'Technology & Engineering', 'STEM', 'Medicine & Health', 'Culture'}"
7,87465792,ESTADOS UNIDOS LEVAM OURO NA GINÁSTICA FEMININA POR EQUIPES DOS JOGOS OLÍMPICOS RIO 2016 (28849586476) (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/ESTADOS_UNIDOS_LEVAM_OURO_NA_GIN%C3%81STICA_FEMININA_POR_EQUIPES_DOS_JOGOS_OL%C3%8DMPICOS_RIO_2016_%2828849586476%29_%28cropped%29.jpg,"['2016 Summer Olympics, Gymnastics, August 9' 'Daniele Hypólito'
 'Brazil at the 2016 Summer Olympics' 'Leotards in gymnastics']","{'Society', 'Technology & Engineering', 'People', 'Places', 'STEM', 'Sports'}"
8,3008825,Robert Thorburn Ayton Innes00.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Robert_Thorburn_Ayton_Innes00.jpg,['Robert Thorburn Ayton Innes (astronomer)'],"{'Space', 'Nature', 'STEM'}"
9,1834333,Aitutakicirc.png,https://upload.wikimedia.org/wikipedia/commons/8/80/Aitutakicirc.png,['Aitutaki' 'Maps of the Cook Islands' 'Politics of the Cook Islands'],"{'Society', 'Maps & Flags', 'Politics', 'Places'}"
10,19987041,Fran Podrekar 1910s.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Fran_Podrekar_1910s.jpg,"['Fran Podrekar' 'Portraits by Fran Vesel'
 '20th-century black and white portrait photographs of men at half length'
 'People of Slovenia in the 1910s' '1910 portrait photographs'
 'Portrait photographs of men wearing hats in Slovenia'
 'Men smoking cigarettes' 'Smoking people in Slovenia'
 'Smoking in Slovenia']","{'Society', 'People', 'STEM', 'Art', 'Medicine & Health', 'Culture'}"
11,12493001,Great War Memorial Niagara Falls Canada.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Great_War_Memorial_Niagara_Falls_Canada.jpg,"['1927 in Ontario' 'Queen Victoria Park' '1927 postcards of Canada'
 'Postcards of monuments and memorials in Ontario'
 'World War I memorials of Canada' 'Unveiling ceremonies in Canada'
 'War memorials in Ontario' 'May 1927 in Canada'
 'Postcards of Niagara Falls, Ontario' 'Postcards of parks in Canada']","{'Monuments & Memorials', 'Art', 'Culture', 'History', 'Society', 'Places'}"
12,4615355,Virtues of the Hero Starkater - Olaus Magnus 1555.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Virtues_of_the_Hero_Starkater_-_Olaus_Magnus_1555.jpg,['Historia de gentibus septentrionalibus' 'Runestaffs' 'Starkaðr'],"{'Literature', 'Culture'}"
13,11207156,Jarbolilive.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Jarbolilive.jpg,"['Musical groups established in 1991'
 'Alternative rock groups from Serbia' 'Indie rock groups']","{'Society', 'Culture', 'Music'}"
14,8845593,Schweizer SGS 2-25 N91892 Gt Hucklow 18.07.54 edited-3.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Schweizer_SGS_2-25_N91892_Gt_Hucklow_18.07.54_edited-3.jpg,"['Schweizer SGS 2-25' 'World Gliding championships' 'Great Hucklow'
 '1954 in England' '1954 in aviation in the United Kingdom'
 'July 1954 in Europe']","{'Society', 'Sports', 'Places'}"
15,34612026,Elliott Bradbury Just as I am.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Elliott_Bradbury_Just_as_I_am.jpg,['Just as I am' 'English-language sheet music of hymns'],"{'Culture', 'Music'}"
16,7188269,CollatzFractal.png,https://upload.wikimedia.org/wikipedia/commons/1/1c/CollatzFractal.png,['Fractals with one axis of symmetry' 'Collatz conjecture'],"{'Mathematics', 'STEM'}"
17,4198567,Moondial queens college.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Moondial_queens_college.jpg,"['Hyperbolas on sundials' 'Moondials in the United Kingdom'
 'Nodus-based sundials' ""Queens' College, Cambridge""
 'Vertical sundials in Cambridgeshire' 'Sculptures in Cambridge colleges']","{'Space', 'STEM', 'Culture', 'History', 'Technology & Engineering'}"
18,43331626,Osteopathy Complete (1898) (14756710206).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Osteopathy_Complete_%281898%29_%2814756710206%29.jpg,['Osteopathy Complete (1898)' 'Erectile dysfunction'],"{'Society', 'Medicine & Health', 'Culture', 'STEM'}"
19,18366046,1-urumi melam.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/1-urumi_melam.jpg,"['TamilWiki Media Contest' 'Drums of India'
 'Musical instruments of Tamil Nadu' 'Hourglass drums']","{'Culture', 'Music', 'STEM', 'Nature'}"
20,8039784,Premature infant with ventilator.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Premature_infant_with_ventilator.jpg,"['Diseases and disorders of prematurity' 'Premature babies'
 'Neonatal intensive-care units' 'Newborn infants (female)']","{'Society', 'Medicine & Health', 'STEM'}"
21,4703341,Salinon shaded.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Salinon_shaded.svg,['Salinon'],"{'STEM', 'Nature', 'Mathematics', 'Culture', 'History'}"
